runtime, var  , query , n_s , n_st , timerange
50.65 , 6.05 , q4 , 80 , 6 , minute
96.533 , 6.244 , q4 , 80 , 6 , hour
983.41 , 17.142 , q4 , 80 , 6 , day
6611.442 , 24.25 , q4 , 80 , 6 , week
28464.106 , 100.608 , q4 , 80 , 6 , month
58.699 , 6.238 , q4 , 80 , 8 , minute
102.848 , 5.336 , q4 , 80 , 8 , hour
1290.665 , 13.318 , q4 , 80 , 8 , day
8802.376 , 39.06 , q4 , 80 , 8 , week
34498.832 , 131.876 , q4 , 80 , 8 , month
76.314 , 5.772 , q4 , 80 , 10 , minute
152.608 , 6.829 , q4 , 80 , 10 , hour
1634.188 , 13.051 , q4 , 80 , 10 , day
11040.626 , 51.269 , q4 , 80 , 10 , week
18070.635 , 85.588 , q4 , 80 , 10 , month
27.866 , 5.088 , q4 , 100 , 2 , minute
45.702 , 3.897 , q4 , 100 , 2 , hour
415.075 , 11.719 , q4 , 100 , 2 , day
2770.775 , 26.04 , q4 , 100 , 2 , week
11873.034 , 97.748 , q4 , 100 , 2 , month
44.064 , 7.746 , q4 , 100 , 4 , minute
70.423 , 7.264 , q4 , 100 , 4 , hour
814.136 , 13.484 , q4 , 100 , 4 , day
5541.081 , 33.939 , q4 , 100 , 4 , week
23810.76 , 124.975 , q4 , 100 , 4 , month
58.155 , 7.442 , q4 , 100 , 6 , minute
99.482 , 5.372 , q4 , 100 , 6 , hour
1210.506 , 22.841 , q4 , 100 , 6 , day
8311.987 , 72.182 , q4 , 100 , 6 , week
35771.877 , 117.193 , q4 , 100 , 6 , month
71.792 , 7.39 , q4 , 100 , 8 , minute
128.836 , 10.783 , q4 , 100 , 8 , hour
1632.488 , 23.713 , q4 , 100 , 8 , day
11091.155 , 72.748 , q4 , 100 , 8 , week
47898.607 , 165.766 , q4 , 100 , 8 , month
91.957 , 7.871 , q4 , 100 , 10 , minute
161.63 , 9.682 , q4 , 100 , 10 , hour
2051.164 , 6.171 , q4 , 100 , 10 , day
13877.865 , 56.306 , q4 , 100 , 10 , week
24415.374 , 102.127 , q4 , 100 , 10 , month
5.679 , 0.454 , q5 , 1 , 2 , minute
20.494 , 3.89 , q5 , 1 , 2 , hour
283.504 , 27.854 , q5 , 1 , 2 , day
2006.597 , 93.204 , q5 , 1 , 2 , week
8.165 , 0.517 , q5 , 1 , 4 , minute
33.737 , 4.425 , q5 , 1 , 4 , hour
554.649 , 31.009 , q5 , 1 , 4 , day
3967.896 , 96.245 , q5 , 1 , 4 , week
