64.97621893882751 , 12.54002732936556  , q6 , 3 , 1 , day , 500000
26.027010679244995 , 7.857347051292785  , q7 , 3 , 1 , day , 500000
63.66629481315613 , 10.371096790833903  , q1 , 3 , 1 , day , 500000
29.09053683280945 , 7.638339090508239  , q2 , 3 , 1 , day , 500000
28.71073007583618 , 8.511538271201928  , q3 , 3 , 1 , day , 500000
30.699973106384277 , 8.344498614748082  , q4 , 3 , 1 , day , 500000
101.9899594783783 , 5.657194301591099  , q5 , 3 , 1 , day , 500000
43.70709538459778 , 2.5513443617028506  , q6 , 3 , 1 , day , 500000
11.707336902618408 , 0.7387846677968368  , q7 , 3 , 1 , day , 500000
42.21536993980408 , 4.316342351712146  , q1 , 3 , 1 , day , 1000
14.492717981338501 , 2.5961736308934698  , q2 , 3 , 1 , day , 1000
13.379936218261719 , 1.1123426396530858  , q3 , 3 , 1 , day , 1000
17.38226056098938 , 1.8751927719298953  , q4 , 3 , 1 , day , 1000
102.06873059272766 , 4.2521533391593715  , q5 , 3 , 1 , day , 1000
43.76535892486572 , 2.913612281298849  , q6 , 3 , 1 , day , 1000
11.330852508544922 , 0.8945818099877223  , q7 , 3 , 1 , day , 1000
42.35785245895386 , 4.339491133012048  , q1 , 3 , 1 , day , 1000
14.32908296585083 , 1.3486571227949697  , q2 , 3 , 1 , day , 1000
13.174610137939453 , 1.1508979099566747  , q3 , 3 , 1 , day , 1000
17.482502460479736 , 3.1475995694710592  , q4 , 3 , 1 , day , 1000
100.88267803192139 , 3.0523611576489955  , q5 , 3 , 1 , day , 1000
43.90962243080139 , 2.2959465648225854  , q6 , 3 , 1 , day , 1000
11.540626287460327 , 1.285797759360679  , q7 , 3 , 1 , day , 1000
65.46410799026489 , 9.072562031643887  , q1 , 3 , 1 , day , 1000000
36.22584581375122 , 4.908325088789195  , q2 , 3 , 1 , day , 1000000
31.966891288757324 , 5.135020277488427  , q3 , 3 , 1 , day , 1000000
36.31663799285889 , 4.986299040443959  , q4 , 3 , 1 , day , 1000000
125.47008395195007 , 12.594169140166697  , q5 , 3 , 1 , day , 1000000
57.288018465042114 , 8.550197533589687  , q6 , 3 , 1 , day , 1000000
21.869102716445923 , 4.886809912209725  , q7 , 3 , 1 , day , 1000000
55.64819574356079 , 7.3249363711842115  , q1 , 3 , 1 , day , 1000000
24.08908486366272 , 3.692762899211986  , q2 , 3 , 1 , day , 1000000
23.60399842262268 , 3.620075290585482  , q3 , 3 , 1 , day , 1000000
27.653673887252808 , 4.483184592508292  , q4 , 3 , 1 , day , 1000000
123.03351044654846 , 9.807794683888252  , q5 , 3 , 1 , day , 1000000
58.67213845252991 , 7.226381346996588  , q6 , 3 , 1 , day , 1000000
21.745606660842896 , 3.618062831414689  , q7 , 3 , 1 , day , 1000000
58.33295822143555 , 9.297709146135212  , q1 , 3 , 1 , day , 1000000
23.828967809677124 , 3.877513549601443  , q2 , 3 , 1 , day , 1000000
24.048330783843994 , 4.633376992080289  , q3 , 3 , 1 , day , 1000000
27.6951265335083 , 3.751992615160054  , q4 , 3 , 1 , day , 1000000
121.93768978118896 , 7.727367406299395  , q5 , 3 , 1 , day , 1000000
57.85094738006592 , 7.948406443493169  , q6 , 3 , 1 , day , 1000000
21.7881441116333 , 3.9407103705090862  , q7 , 3 , 1 , day , 1000000
56.585575342178345 , 7.258708453919958  , q1 , 3 , 1 , day , 1000000
23.520865440368652 , 4.009620398263615  , q2 , 3 , 1 , day , 1000000
23.310633897781372 , 3.1935228828825517  , q3 , 3 , 1 , day , 1000000
27.709022760391235 , 3.77232432771305  , q4 , 3 , 1 , day , 1000000
123.63531112670898 , 8.96336083924987  , q5 , 3 , 1 , day , 1000000
58.91724348068237 , 7.53284701315657  , q6 , 3 , 1 , day , 1000000
21.51460886001587 , 3.1917856968002587  , q7 , 3 , 1 , day , 1000000
