1646.2284326553345 , 3263.0038035219486 , q3 , 50 , 800 , month
29109.027814865112 , 89044.21954856788 , q3 , 50 , 1200 , month
218.50755214691162 , 562.3243921601676 , q4 , 1 , 1 , month
2915.287733078003 , 4150.114453044427 , q4 , 1 , 400 , month
2364.6262168884277 , 1664.1208308174107 , q4 , 1 , 800 , month
2413.1673097610474 , 540.845012794239 , q4 , 1 , 1200 , month
3148.436760902405 , 934.4057145712953 , q4 , 1 , 1600 , month
8519.868397712708 , 3443.6278300226154 , q4 , 1 , 2000 , month
84.80582237243652 , 116.04492976154967 , q4 , 20 , 1 , month
21360.829973220825 , 50825.85574957728 , q4 , 20 , 400 , month
8247.722101211548 , 14114.653868650568 , q4 , 20 , 800 , month
19565.619325637817 , 27368.684249644306 , q4 , 20 , 1200 , month
56321.61704699198 , 87899.05820869506 , q4 , 20 , 1600 , month
72343.28746795654 , 101533.2471533327 , q4 , 20 , 2000 , month
591.6060924530029 , 1554.864831180752 , q4 , 40 , 1 , month
11056.39500617981 , 25762.261040269634 , q4 , 40 , 400 , month
26142.49930381775 , 46029.048905207565 , q4 , 40 , 800 , month
5838.228678703308 , 5733.534647266018 , q4 , 40 , 1200 , month
4293.2178020477295 , 1435.842967214536 , q4 , 40 , 1600 , month
39235.744071006775 , 18261.944603797878 , q4 , 40 , 2000 , month
148.6604928970337 , 142.25332833295056 , q4 , 50 , 1 , month
14683.617877960205 , 6576.817937561038 , q4 , 50 , 800 , month
74230.01272337777 , 100305.59759651884 , q4 , 50 , 1200 , month
28981.54945373535 , 84314.81804942014 , q3 , 50 , 2000 , month
521.7594623565674 , 100.78582553176761 , q6 , 20 , 1 , month
815.7994270324707 , 29.390616284317385 , q6 , 50 , 1 , month
220.54362297058105 , 35.15045664702132 , q7 , 20 , 1 , month
287.6821279525757 , 3.898412994672372 , q7 , 50 , 1 , month
228.35431098937988 , 481.94519175504615 , q1 , 1 , 1 , minute
66.347336769104 , 10.586686772782922 , q1 , 1 , 1 , hour
190.55626392364502 , 45.964227055654895 , q1 , 1 , 1 , day
1043.9270734786987 , 116.67280621236868 , q1 , 1 , 400 , minute
1725.2997159957886 , 32.394842706884546 , q1 , 1 , 400 , hour
34695.17681598663 , 536.5040800821819 , q1 , 1 , 400 , day
839.9129390716553 , 29.5628081715596 , q1 , 1 , 800 , minute
3235.968255996704 , 193.17153744873278 , q1 , 1 , 800 , hour
69893.91708374023 , 1400.311030934037 , q1 , 1 , 800 , day
928.8816213607788 , 46.478191992483865 , q1 , 1 , 1200 , minute
4900.925827026367 , 149.13203691615877 , q1 , 1 , 1200 , hour
105234.07263755798 , 1557.022115227984 , q1 , 1 , 1200 , day
1191.876459121704 , 38.16458973902365 , q1 , 1 , 1600 , minute
6516.655778884888 , 298.1275244399603 , q1 , 1 , 1600 , hour
141503.04502248764 , 3737.211784293877 , q1 , 1 , 1600 , day
3004.5037984848022 , 76.97815095263368 , q1 , 1 , 2000 , minute
8505.583214759827 , 294.6789943997533 , q1 , 1 , 2000 , hour
177340.35271406174 , 2794.3522852470605 , q1 , 1 , 2000 , day
60.55121421813965 , 80.20338879677448 , q1 , 20 , 1 , minute
89.59245681762695 , 23.72809314283981 , q1 , 20 , 1 , hour
763.6927366256714 , 147.91202226159277 , q1 , 20 , 1 , day
1886.3881826400757 , 3910.0695142591535 , q1 , 20 , 400 , minute
7625.1643896102905 , 108.92151826493432 , q1 , 20 , 400 , hour
181625.9173154831 , 7080.217058086102 , q1 , 20 , 400 , day
1235.9235286712646 , 1167.4097619411446 , q1 , 20 , 800 , minute
15644.563102722168 , 417.6690812783781 , q1 , 20 , 800 , hour
304206.05689287186 , 1966.9108024737845 , q1 , 20 , 800 , day
2515.150213241577 , 4169.642379606535 , q1 , 20 , 1200 , minute
23437.157678604126 , 517.0761800465452 , q1 , 20 , 1200 , hour
304578.5953402519 , 1419.0337758670296 , q1 , 20 , 1200 , day
